prompt,completion
"After updating to the current version, I get the message that areas are excluded from the design. Several materials are shown in red. Why is that?","Probably a material was defined in RFEM whose standard does not match the design standard (e.g. a material according to DIN 1045-1 was selected, but the design is carried out according to DIN EN 1992-1- 1). The different material standards often use different parameters.It is therefore preferable to select the material standard that also applies to the design standard in RFEM."
"When calculating a temperature load case, I get the error message 10419 ""The temperature load has no effect"". What should I do?","The coefficient of thermal expansion for the material is probably zero. As soon as you change this back to a realistic value, the warning should no longer appear."
Is it possible to display the average of line support results?,"The various options can be controlled using the ""Show"" navigator. Under the ""Results"" category, you can choose between ""Actual"" and ""Real"" for the bearing reactions switch to ""smooth distribution"". The variants ""Constant (average)"" and ""Linear"" are available for this. By the way, a smoothing line can also be displayed when displaying the result curves. "
Can a single-user USB dongle be operated on a dongle server?,"Dongle servers are not supported for local dongles from our dongle manufacturer (Gemalto). We can therefore not guarantee functionality or support when using a dongle server. If a license is to be accessed from several computers, a network dongle is required. Contact our sales department for this."
Can I also determine the stiffness of an existing support instead of a fixed nodal support?,"Yes, it works. For this, you need to activate the elastic support in the ""Edit nodal support"" mask. Based on a few input parameters such as the type of support, support shape, material and support height, the springs of the support are determined by the program. Another advantage in addition to the elastic support is that the area of the column cross-section is turned off in the result output. This hides the singularity points and the concrete design uses the internal forces."
Can RF-TENDON also be used to design surfaces?,"The RF-TENDON module is designed as a design module for members. However, it is also possible to provide surfaces with tendons and to design them using the member type Result beam. An example of the design of a slab is shown in the following webinar:Prestressed concrete design in RFEM "
I would like to download the RFEM and RSTAB installation packages. But the download keeps crashing. Is the Dlubal web server broken?,"All download links on our server are fine. However, the installations are very large files. They are significantly larger than 1 GB. Your network may have a download size limit or there is a problem with your internet connection. Please contact us therefore contact your administrator. If the problem cannot be solved in this way, there is also the option of sending you the current version on a USB stick by post. In this case, contact support by email (support@dlubal.com)."
How can RF-TENDON and RF-TENDON Design be opened?,"The RF-TENDON module can be opened via the menu bar under Additional Modules → RF-TENDON. The RF-TENDON module, which is used for the subsequent cross-section design, can be opened from within RF-TENDON. The modules are only available in RFEM . Both modules are also available in the student version. "
Can I insert a 3D graphic into the RSTAB / RFEM model?,"3d objects in the ""3ds"" format can be easily loaded into the existing model in the program via Insert → visual objects. The scale, the insertion point and the rotation angle can be set in the ""new visual object"" mask."
"Does RSTAB / RFEM have a function that can determine the maximum internal forces from the various load case combinations, a type of envelope curve?","You can do exactly this very quickly with a result combination. If you add the individual load cases, load combinations or result combinations to this with the ""Or"" criterion, the maximum or minimum results are calculated from these, i.e. the envelope, so to speak. For more information on using result combinations, see our manual, among others."
Why do the results of a result combination from load cases differ from the LC formed from load combinations?,"When creating a load combination, the ""2nd order"" calculation type is preset by default in the calculation parameters. In the case of linear systems that are statically indeterminate, the results for load cases that are calculated according to the standard first-order theory can therefore differ."
Can I have my model saved automatically after the calculation? ,"That's fine. To do this, call up the program options under Options and tick ""Save after calculation"". The model is saved automatically after each calculation run. This option is particularly useful for larger structures that take a long time to be calculated."
"I get the expression ""-1.#J"" for the rigid as well as the hinged limit stiffness. What should I do?","The limiting stiffnesses for rigid or articulated connections can be determined according to EN 1993-1-8 5.2.2.5 (1). The area moment of inertia of the ledger, the span, the modulus of elasticity and the reinforcement of the frame are included in the calculation. As of version 5.19.01, this information can be defined in more detail in Table 1.4 under ""Classification"". Since this information was not available in earlier versions, but is now queried by the calculation core, you get this expression ""-1.#J"". Mask 1.4 should be called up to remedy this. The modulus of elasticity, length and moment of inertia of the bolt are read out automatically. If there are bar divisions in the bar, the length may have to be adjusted. The type of bracing must also be specified by the user. A stiffened system (Kb=8) is assumed by default. After recalculating the module, the correct limit stiffnesses are calculated."
"want to edit a model, e.g. add nodal supports or change members and I get warning number 1145. What can I do?","The reason for this message is that you are in viewer mode. When installing RFEM or RSTAB, a viewer version is automatically installed in addition to the normal version. This appears as an additional icon on the desktop. In this mode, files with results can be opened, but no changes can be made. If you want to edit and calculate a file, you should open the icon without the addition ""Viewer"". "
get the following error message. Error #30426 - Error #1 Model is not stored!What's the problem? ,"Please define bearings in the model that absorb the loads, otherwise no calculation is possible. In RSTAB, for example, you can provide nodal supports, in RFEM nodal, line, and surface supports."
"For a cross-section in my model, the STEEL EC3 add-on module uses the wrong yield point depending on the component thickness. What can be the cause?","This effect usually occurs with SHAPE-THIN cross-sections. When modeling the cross-sections, care should always be taken to ensure that the entries for height and thickness are not mixed up for the elements."
What information is transferred when exporting the nonlinear stiffness? Is it possible to display the exported values graphically?,"When exporting the nonlinear stiffness from the RF-CONCRETE Members module or the RF-CONCRETE Surfaces module, only the stiffness values are exported. The following results or effects are not exported: Shrinkage: The influence of shrinkage is not exported directly, since shrinkage is taken into account from the load side and not from the stiffness side. If there is a change in rigidity (tearing) when considering shrinkage, this effect is of course also exported. Results from the NL calculation: Other results from the non-linear calculation, such as crack width or steel and concrete stress, are not exported.Currently, it is not possible to graphically display the exported stiffness in RFEM."
"Can I hide the text of the standards for the material designation, i.e. a short form?","If the colors are defined in the display navigator according to the ""Material"" setting, then the full material designation is displayed in the panel by default, ie material name + standard. The full material designation is also displayed in the tables (Table 1.3) of RSTAB and RFEM, among others. If you only want the material designations in the panel and tables, you can In the ""Program Options"" dialog, deactivate the full material designation."
Where is the consequential damage class defined in RX wood?,The consequential damage class can be set in the RF Combi module. The desired setting can be made in the coefficients. 
"want the rebar results (As,-z (top), As,+z (bottom), asw,V,stirrup ) for a beam from my RFEM or RSTAB file and read it into AutoCAD. With the dialog ""Export"" → ""DXF"" I can only read out the geometry. Is there a possibility?","Unfortunately, there is currently no way to export reinforcement from RF-/CONCRETE Members to a CAD format. In RFEM, however, the design results from RF-CONCRETE surfaces can be exported to a DXF file. "
"I want to design a stair railing for which I have created a set of bars. The profile is a hollow profile. Can the stability verification be carried out for the entire system or do I have to transfer this to an equivalent member verification, specifying all bearings in STEEL EC3?","For a warp-free cross-section, a verification of the entire system using the second-order theory - internal forces and local and global imperfections is recommended. The input of the effective lengths and nodal supports (for sets of members) can thus be omitted. However, please activate gamma_M1 for the cross-section design."
In TIMBER Pro I cannot calculate any members with double rectangular cross-sections and linearly variable cross-section heights. What is the reason?,"In the RF-/TIMBER Pro module, double rectangular cross-sections (""H-2B"" cross-section) can only be designed with a constant cross-section height over the member length. H-2B cross-sections with a haunch are excluded from the design.In this case, it is advisable to represent the H-2B cross-section with two separate rectangular cross-sections. Either you model the two bars geometrically separately from each other and couple them, e.g. B. with rigid members, or you activate the option ""Allow double members"" in the ""Edit"" menu and assign appropriate eccentricities to the two members that are initially on top of each other. These members can then be designed in RF-/TIMBER Pro.A sample file is available below under ""Downloads""."
Is it also possible to display the FE mesh on the deformed system?,"Yes, it works. To do this, you have to activate the item ""At surface results"" in the project navigator - Show under ""FE mesh""."
"I get an error message when using nonlinear material, what should I do?","With RF-MAT NL we offer the use of various nonlinear material models. If you combine members, surfaces and/or volumes in RFEM, the nonlinear material models must be assigned individually for members (1D) and surfaces and volumes (2D / 3D). Members as 1D elements cannot be nonlinear Material model (2D/3D) assigned."
I need to size a wall bracket (steel brackets). I modeled it as surface components in RFEM. The question: With which module can these steel brackets be calculated?,"For the design of steel surfaces, please use the RF-STEEL Surfaces module of the same name. If you also want to take local buckling into account, then the add-on modules RF-STABILITY (to determine the buckling shape and critical loads) and RF-IMP (to determine the imperfection shape based on the buckling shape) are recommended."
My project manager no longer shows miniature models. I can't dock a button for it either. What should I do?,Sometimes it can happen that the info window has been moved all the way down. You can move it up again by holding down the left mouse button.
I would like to take part in a Dlubal webinar for the first time. What do I have to consider after I have registered?,"After you have registered, you will receive a confirmation email with a link that allows you to participate in the webinar free of charge. Please open this link a few minutes before the start of the webinar and follow the further instructions.To participate in the webinar you need a computer with internet access as well as speakers, headphones, a headset or similar to hear the sound . Alternatively, you can also receive the sound via a telephone (normal landline costs). Your microphone is muted during the webinar. However, you can ask questions via chat."
"The modulus of elasticity is reduced for the hot rating. I assume that applies first to the evidence. However, to what extent is a change in stiffness in the structure and thus a redistribution of the load taken into account?","The modulus of elasticity of the material is reduced for the verifications according to EC 3, but not for the internal forces, since this is not intended according to the method of DIN EN 1993-1-2. The cold state of the structure is always assumed. When calculating the internal forces, you only have to take into account the internal constraint from temperature stress, if it exists. "
How can I take a sling assembly into account in KRANBAHN?,"Entering a rolling bond as a construction is currently not possible in KRANBAHN. However, in RSTAB or RFEM you can determine the equivalent spring, which can then be considered as lateral support in CRANEWAY. To do this, proceed as follows: Model the coil brace in RSTAB or RFEMSet the at the point of the lateral support Unit load 1kNCalculate the nodal deformation in global Y for each position of the lateral support.Calculate the equivalent spring from the determined deformation and the load. (see picture)Note: This method is not recommended in the technical literature. The background is that the spring stiffnesses change for each wheel position and the normal force load on the crane runway girder in its capacity as a truss chord is not taken into account in the design. "
"The RF-/DYNAM Pro add-on module has the parameters 'Modal mass', 'Participation factor' and 'Equivalent mass'. The manual does have the formulas, but an explanation and how to use them would be helpful.","Modal mass Every multi-mass system can usually be represented by a one-mass system. When performing this transformation, one needs the modal mass of the system. This mass is required to generate the frequency of the equivalent single-mass oscillator.Participation factor This factor can also be negative, since it consists of the equivalent mass at a node and the associated deflection due to the natural mode. If the deflection is in the negative direction, the participation factor becomes negative. The equivalent mass factor is still positive because the participation factor is squared (see formula).Equivalent mass The equivalent mass of a system is part of the total mass, which due to the vibration of the Multi-mass oscillator is excited. The equivalent mass of a system can be between zero and the total mass. The equivalent mass factor is only the quotient of the total mass and the equivalent mass. This means that you can usually check more quickly how large the proportion of the excited mass is in the respective eigenmode. If it happens that the equivalent mass factor is greater than 1, you should check the discretization of the system and, if necessary, refine the division of the nodes or the FE mesh.The equivalent mass factor is usually used for an earthquake analysis and the equivalent mass are decisive, since the dynamic equivalent loads on the building are calculated with these values."
Can you design timber-timber connections according to EN 1995-1-1 Chapter 8.2.2 in RSTAB and RFEM with the additional module Joints? ,"The design of timber connections with pin-shaped fasteners is currently limited to steel-timber connections according to Chapter 8.2.3. Pure wood-wood connections based on shearing, taking into account the Johansen theory, are therefore currently not possible. Direct wood-to-wood connections using full-thread screws are possible with the module RF-/JOINTS wood - wood to wood, with which main-secondary beam connections can be calculated."
"The calculation in RFEM takes a long time. However, the utilization of the processor is low. How can this be accelerated?","Please check if the iterative solver is set. If this is the case, then set the direct solver.Open the calculation parameters (Calculation menu > Calculation parameters) and check whether the direct solver is set."
Is it possible to use your own materials as a basis in RSTAB or RFEM in the add-on module “Concrete Reinforced Concrete Design”?,"Yes, this is possible, but this custom material must be created via the material library in the appropriate filter so that all information relevant to the module is available. In addition, the code group or code must be selected so that it matches the design code in the module. It is best to go to the material library and select the material category and group there , as well as the corresponding standard. After selection, create a new material Then a corresponding dialog opens in which you can select a material designation and the corresponding parameters. The material should then be usable in the design."
What is the recommended target length of the finite elements?,"Depending on the individual dimensions of the system, the following rule is recommended:Generation of eight to ten elements between the border lines of an area, but at least four elements More elements are also possible, whereby it should be noted that a FE mesh width that is too fine delays the calculation unnecessarily and at the same time the quality of the results is not necessarily improved. Local may be recommended FE mesh refinements.The FE mesh settings can be made under ""Calculation"" → ""FE mesh settings"". "
Are the Dlubal webinars recorded and uploaded to YouTube?,"We record all our webinars and then post them free of charge on our website and YouTube available. You can also find the presentation slides, model files, etc. used on our website."
"For the interpretation and documentation of the results, I would like to have the vertical line support results clearly displayed in the top view.Which setting should be selected for this?","In the Show navigator in the Results section --> Support reactions, the ""Draw in XY plane"" option can be activated "
"During the stability analysis in RSBUCK I get the following error message: ""The model is not connected because there are independent submodels."" What does that mean and what can I do about it?","Independent sub-models are not connected to each other and are considered as separate sub-models in the calculation. They are therefore independent models without influencing each other. It is advisable to edit partial models separately as individual files. After that, a stability analysis with RSBUCK is possible. Otherwise, the partial models must be connected to each other. It should be noted that when the sub-models are merged into an overall model, the static systems of the sub-models should be retained. Helpful with recognition of partial models is the ""Independent Systems"" function. This finds all independent systems and lists them as groups. You can find this function under Extras -> Model Control -> Independent systems."
"How can I delete all objects that belong together, e.g. E.g. select simultaneously in a set of members?",The easiest way to do this is to use the Related Objects feature. This can be found in the menu under Edit-->Select.
Is it possible to output the loads of the edge seal of an insulating glass pane?,"Unfortunately, it is not possible to output the stresses of the edge seal of an insulating glass pane in tabular or graphic form in the module. An alternative way of determining the forces would be, for example, to evaluate the bearing reactions.If both panes are stored, the associated force can be determined from this. "
Which stiffnesses does RFEM use for orthotropic hollow core slabs with rectangular cavities?,"The determination of the stiffness can be found in a PDF file, which you can download below in the ""Downloads"" area. The output variable is the corresponding I cross-section."
How to change the value of the gravitational acceleration?,"The gravitational acceleration can be changed in the ""Options"" tab of the basic model data."
"I purchased the RF-MAT NL add-on module, but I can't find it anywhere.",The add-on module RF-MAT NL is already integrated in RFEM 5. It is assumed that the following material models can be used: Isotropic plastic 1DIsotropic plastic 2D/3DIsotropic nonlinear elastic 1D Isotropic nonlinear elastic 2D/3D Orthotropic plastic 2DOrthotropic plastic 3D Isotropic masonry 2D Isotropic damage 2D/3D
How do I disable a softlock?,"Please proceed as follows to deactivate a softlock: Download our deactivation tool. http://download.dlubal.com/?file=DeactivateLicense.zipUnpack the ZIP archive on the PC with the active softlock.Start the tool by double-clicking on ""DeactivateLicense.exe"".Select the softlock to be deactivated and press ""Deactivate"".Send us the *.*ack file created after deactivation."
I want to calculate a truss hanging from a crane. Why does the program always show me an instability when calculating?,"With a normal suspension on a crane hook or on a traverse, the component will be able to move away under external horizontal loads. In the same way, the suspension on the crane will not represent any support for the internal forces occurring in the system.The depiction of systems that are actually unstable because they are mobile in a calculation program is not always easy. You should unlock the bearings on the crane lugs for X and Y (horizontal) and consider how horizontal forces that arise from an uneven vertical load (= torsion) can be absorbed. This can usually be done But calculate the model if you store the traverse horizontally with a very small spring (see model file)."
"RF-/STEEL EC 3 does not perform a stability analysis with torsion. The verification with the warping torsion analysis is independent of that, isn't it?","That is correct. For the verification of the relevant components, these must be defined as sets of members and selected for the design.It is also important that in the design case of the warping analysis no members are selected for the design that are either already contained in the sets of members or on are subjected to torsion, since the RF-/STEEL EC3 module then wants to design them using the equivalent member method and it may not be possible to design them due to the torsion. Then a warning would appear."
"How does RF-/STEEL EC3 design class 4 cross-sections? Is the existing load taken into account in the statement ""Class 4""?",RF-/STEEL EC3 designs class 4 cross-sections using the effective width method according to EN 1993-1-5. The existing voltage is taken into account here.
"When entering the members, I worked with double members. Is there anything else that needs to be taken into account, or is it better to enter a member with double cross-section values?","You can use the combined cross-sections of the cross-section library to check multi-part components. Here, the cross-section values are automatically calculated from the individual cross-sections and then also taken into account in the additional modules for the design. The shear-flexible connection of lattice members is shown here by entering an equivalent plate thickness t*. If you use the "" Modify Stiffnesses"", these are generally not used in the design modules. The modified stiffnesses are only used in the calculation of internal forces. You need the designs in RF-/STEEL EC3 For example, for the c/t proof or the choice of the interaction equation, the exact dimensions and the shape of the cross section. The effect of the stiffness modification on these individual parameters is not clear in all cases and can therefore not be used in the add-on module. "
What do the abbreviations mean for the crane loads in the CRANE RAILWAY add-on module?,"Vertical wheel loads QC (proportion due to the crane's own weight) QH (proportion due to lifting load) Horizontal wheel loads H T (proportion due to starting/braking of the crane bridge) HS (proportion of skew forces due to starting/braking of a crane) HT3 (proportion due to starting/braking of trolley or hoist) longitudinal loads HL (Part due to starting/braking of a crane) If there is an additional skew force (S) or a buffer force (HB) effective, it can be specified below the table. There is already an interesting webinar on the topic ""Measurement of crane runway girders according to Eurocode 3"" on our homepage."
"In a calculation I have activated the ""detailed calculation"" option. Are the bearing loads already specified with the reduced vibration coefficient for dimensioning the substructure?","Like the internal forces, the bearing forces from the load cases are combined taking into account the vibration coefficients. To do this, the bearing forces (except for LF1 and LF2) are multiplied by the ratio of the dynamic coefficient carrier to the dynamic coefficient bearing and added according to the LK criterion, since the wheel loads from LF3 already include the dynamic coefficient for the carrier. With the Only max/min option, only the extreme values of the support forces for the correspondingdirections are output, ie the characteristic support forces multiplied by the associatedVibration coefficient for supports (see picture). There is already an interesting webinar on the topic ""Dimensioning of crane runway girders according to Eurocode 3"" on our homepage."
Can RSTAB and RFEM be operated on a terminal server?,The installation of RSTAB and RFEM on a terminal server is possible. A network license is required. 
Why does RFEM not find equilibrium for a load directed upwards on a membrane roof that is curved downwards?,"The downwardly curved, synclastic roof geometry reacts numerically stable for downward loads. Loads in the direction of the arch ultimately increase the tensile load in the membrane and thus stabilize the system. Loads against the arch shape of the roof reduce the tensile load in the membrane. In this case, if the membrane tensile load approaches zero, numerical difficulties arise due to the sole membrane tensile strength of the element used. In this case, the solution process reacts with poor convergence, instability messages or messages for a positive definite Jacobian matrix. "
"In my model, the sum of the support forces deviates from the internal forces in the result beam. What can be the reason?","Especially if you have modeled walls using surfaces, there may be a deviation between the sum of the support forces and the shear forces in the result member. This is because the surface internal forces are integrated to member section sizes. Depending on the size of the FE mesh, the results may be incorrect or inaccurate. You can use the following procedure to improve the results: Reduce the size of the FE mesh. The deviations between the support forces and the shear forces should then approach 0.Increase the division for result curves in the calculation parameters. This also leads to an approximation of the results. In the result curves there is the possibility to to display a smoothing line that smears the internal forces of the result bar over the entire length. In the example file, the results were shown once for a FE - Net length of 1 m, a length of 0.25 m and a pitch of 100 calculated. The total load is 885.3 kN. "
"When verifying a hinged beam connection with JOINTS, the verification of the premature seam failure on the fin plate is decisive. What exactly does the verification of the premature seam failure take into account and does it have to be carried out in every case?","This proof or this check is carried out in accordance with the recommendations of the ECCS.It requires that the weld seam must not be decisive for the load-bearing capacity of the connection. The load-bearing capacity of the weld seam must therefore be > the load-bearing capacity of the fin plate. If this check is not complied with, either the weld seam thickness can be increased or the thickness of the fin plate can be reduced.The minimum thickness of the weld seam with which the requirement is met is output in the verification details."
Could it be that the formula editor has a problem with units in combination with dimensionless parameters?,"Special attention must be paid to the syntax when using formulas with units and unitless values. If no brackets are used, a space must be inserted between the unit and the operator. "
I would like to perform a hot design with the EC3 module. Is it possible to intervene in the program so that I can use my own temperature curves instead of the standard ones?,"The procedure according to EC 3 can only be used for the temperature curves from EN 1990-1-2. With the simplified calculation of the steel temperature in EC 3-1-2, it is also only possible to take into account rising temperature profiles; a drop in temperature is not available in this simplified calculation. However, it is also possible to use direct steel temperatures in the program. "
Is it possible to change the relation of the deformation results to a user-defined coordinate system?,"No, this possibility does not exist. Node deformations are always output in relation to the global coordinate system, regardless of whether the structure was entered using a user-defined coordinate system.If necessary, the output of the local member or surface deformation results can help. "
"When installing RSTAB / RFEM, the material library was not installed or was not installed in the correct location. Error number 1158 appears. I cannot find the Materials.dbd file. Where can I find the file?","The 1. Possibility is a new installation of the program. The first time you try to install the program again, you will be asked whether you want to uninstall it first. Confirm the query and then reinstall the program. The 2. Possibility is the manual integration of existing material libraries from another computer on which the programs are already installed. The following material databases must be synchronized in each program version:The material library ""Materialien.dbd"" installed by the program with the common materialsThe user-defined material library ""Materialien_User.dbd "" By default, these databases are located in the hidden folder C:\ProgramData\Dlubal\RFEM\General Data Under the download links you will also find the material databases for the versions RFEM 5.18 and RSTAB 8.18"
"RSTAB does not yet use multiple cores to the same extent as is the case with RFEM. Is an optimization for multi-core processors also planned for RSTAB, as this significantly influences the choice of processor?","RSTAB already uses the advantages of parallelization. Basically, the parallelization of RSTAB 8 and RFEM 5 can be summarized as follows:Parallelization of program parts in RSTAB 8 and RFEM 5 (except calculation)Priority the advantages of parallelization in the printout report are used. Specifically, browsing the printout log (i.e., retrieving the table of contents) is done with multiple cores.For future versions, it is planned to use parallelization more frequently. For example, the printout report should be created almost exclusively in parallel.There are two different ways of using multiple cores:Inner parallelizationThe parts of a program process are executed simultaneously in multiple threads. It is recommended to only use physical cores, not logical (virtual) ones. Experiences with scientific and technical calculations have shown that parallelization has an advantage of about three and a half times the speed-up, regardless of the number of cores. Some processes, such as the iterative solver, are not suitable for such parallelization.Outer parallelizationIndividual calculations are executed in individual threads. For example, four solvers can be executed in four threads to calculate four different load combinations.RSTAB 8Currently, these two types of parallelization in RSTAB not used yet. However, it is planned to use the outer parallelization with RSTAB in the future.RFEM 5In RFEM 5, the inner parallelization is already used in some program parts . These are, for example, the compilation of the local stiffness matrix and the direct equation solver.The program part called ""FemBase"" is massively parallelized: It calculates the result combinations and returns all results to the graphics, tables and respective sections. It can read the result of three load cases in three threads and, for example, calculate the result combination in the fourth thread.But the outer parallelization has not yet been used. However, work is already underway."
What is the easiest way to model a cushion for the RF-FORM-FINDING add-on module?,"Basically, RFEM does not accept identical surfaces in the same place due to ambiguity. In this case, RFEM automatically deletes one of the two surfaces. Nevertheless, you can create a pillow with form-finding in RFEM. You only have to make sure that the areas are not in the same place in the 1st input. It is therefore recommended to define the surfaces of the pillow with a Bezier surface and to push the inner control points slightly outwards. "
I can't use object snaps to select the intersections of lines on a background layer. What could be the cause for this?,"If you are unable to snap any points on the background layer, you should verify that the object snap settings are correct. If all other points are detected by the object snap, the problem is already there Import the background slide. If 2 lines do not lie exactly in one plane, even if these planes have only an infinitesimally small distance, no node will be formed during import. This point of intersection cannot be chosen. So you should solve this problem directly in your DXF file. "
"Why does the calculation take so long after changing surface stiffnesses to ""free of membrane tension""? How are these calculated?","The stiffness type ""free of membrane tension"" describes the plate and disk stiffness of surfaces. Here, the plate stiffness including the shear stiffness perpendicular to the surface plane is linearly elastic and the disk stiffness in the surface plane is nonlinearly elastic with the material model according to ""Drucker-Prager"" depending on the defined thickness and the assigned material. So that the surface behaves ""free of tension"" in the pane direction, the non-linear reacts Material model for elements under tension with a yield stress fy,t approaching zero in connection with a relatively small hardening modulus Ep. For compressive forces, on the other hand, due to a relatively high compressive yield stress fy,c, the elements remain linearly elastic and react with an unhindered transmission of compressive force. Since the stiffness type ""free of membrane tension"" basically modifies the degrees of freedom of surfaces, this type is only used for surfaces in the relevant model types 3D, 2D - XZ (uX/uZ /φY) and 2D - XY (uX/uY/φZ). For a better description of the partial nonlinearity of this surface stiffness type, the version RFEM 5.06.1103 on 4.02.2016 the type was renamed from ""Zugfrei"" to ""Membrazugfrei"". "
"would like to save foundations with specific dimensions as a template in the library. Is the? For me, the button for this is deactivated in the ""1.2 Geometry"" dialog.","If you ""design"" the dimensions of the foundation plate, then the option to save the foundation dimensions is inactive. Even if results from a previous calculation are already saved and available. After the first calculation in ""Design"" mode, you can select the designed dimensions of the foundation plate using the ""Dimensions of foundation plate from the Apply calculation"" as ""Start values"" for a new calculation. This deletes the results from the first calculation and runs the program in ""Define dimensions"" mode. In this mode, the option to save the foundation dimensions in the foundation library is now also available."
"When calculating the deformation of my surface model in RF-CONCRETE NL, I get implausibly high values. What can be the reason?","It is quite probable that the high deformations are caused by the consideration of shrinkage and the horizontal support in the model.The shrinkage is considered internally on the load side as a strain, with a failure in this context can be mapped as a result of prevented shrinkage. If the shrinkage strain is prevented by an immovable horizontal bearing, forces are generated that can lead to the failure of the concrete and thus to a significant increase in deformation or even to the instability of the model.In this context, it is important that when using the non-linear deformation calculation, the boundary conditions of the model are mapped as realistically as possible."
Is it possible to include several profiles with different materials in the flexural buckling analysis or how can I combine several profiles?,"It is possible to model any cross-sections with SHAPE-THIN and to carry out a stress analysis within SHAPE-THIN or e.g. B. in RSTAB with STEEL. The FE-LTB module can be used for the stability analysis of general cross-sections. Modules such as STAHL EC3 are dependent on the respective standard, so problems can arise with user-defined cross-sections. Here it is usually the case that these are not covered by the standard and the proof of stability is only valid for certain cross-sections. For cross-sections made of several materials (hybrid cross-sections) you can also work with FE-LTB. The stiffness of such a cross-section created in SHAPE-THIN can be mapped in RFEM, but there are no options for the stress analysis. The approach would therefore be the following: 1. Create cross-section in SHAPE-THIN 2. Import cross-section into RFEM and set reference material correctly 3. Calculate internal forces with FE-LTB 4. Conduct stress analysis in SHAPE-THIN"
The printout report reacts very sluggishly. How can I increase performance?,"The speed of the printout report primarily depends on the amount of data to be printed. If a lot of pages are printed, a delay is to be expected. The number of graphics to be printed and in particular the graphic resolution also play a decisive role. When printing on a DIN A4 format, it doesn't matter much It makes sense to print the graphics with the maximum resolution (5000 x 5000 pixels), especially since this requires a file size that is 25 times higher than the standard resolution (1000 x 1000 pixels).When working in the printout report, the printer driver is mainly accessed, which is set as the standard in the operating system's control panel. If these are outdated or incorrect, this can also lead to delays. In this case, it makes sense to choose a printer other than the default. In particular, virtual printers such as PDF24 usually lead to a significant increase in performance. "
In FUND Pro I get extremely large foundations for my structure or I have to enter a very high superimposed load so that the verification of the foundation torsion is complied with. What can be the reason?,"Please check the load input in the ""1.4 Loads"" input dialog in the ""Characteristic values"" tab. A possible source of error is that you used the individual load cases (e.g. e.g. own weight, wind, etc.). Possibly these load cases are then also set as ""permanent"". The program will now apply both load cases for the verification of the 1st core width.This is not correct . For the verification of the 1st core width, only the load from a permanent action is to be applied. For the verification of the 2nd core width, the load from a ""permanent and variable combination"". However, this means that you need either a load combination (LC) or a result combination (EC) for this. The input of a load case (here only wind) is also incorrect, since the vertical component from the superimposed load, which has a favorable effect, is missing. Therefore you get foundations that are too large or you have to enter a high load as ""permanent load"" so that the verification is adhered to. So you should choose this one Create an LK situation in which the ""permanent and variable actions"" are summarized and use them for the design in FUND Pro. Pay attention to the assignment of this SC to a ""permanent + variable action""."
Can you use the program to generate wind loads on the model according to DIN EN 13782?,"No, the program currently does not offer wind load generation according to DIN EN 13782. In the ""Extras"" menu, however, a large number of load generators are available, depending on and independent of various standards. You can find an overview of all load generators under the following link. https://www.dlubal.com/de/produkte/fem-statik-software-rfem/lastgeneration Because the wind load generation can be set to any model geometries is a very complex topic and the standards only output suitable cp values for certain body shapes, our product portfolio also includes the RWIND Simulation program as an alternative. This program simulates the wind flows around any building in a numerical wind tunnel and generates the resulting wind loads for further structural calculations. You can find more information under the following link. https://www.dlubal.com/en/products/independent-static-software/rwind-simulation"
"In the masonry material library there is a ""g/t"" ratio. What does this mean exactly? ",The ratio g/t is the ratio between the total width of the mortar strip and the thickness of the masonry wall. The ratio of the butt joint mortar should not be less than 0.4 according to the standard specification.
How to hide the label of cuts?,"The labels of all sections can be hidden in the Project Navigator - Show by checking the Sections -> designations is deactivated.If only the designations of individual sections are to be hidden, these must first be selected. Then select the command ""Visibility by hiding selected objects"". "
"I downloaded the installation packages from the Dlubal website. When I try to install them, my security software warns me that the installation packages contain malware. Is that really the case?","This is a false alarm. However, our installation files are definitely free of viruses and other malware. This is carefully checked before each release of a new customer version. The files are transferred via a secure https connection, so that manipulations during the transfer are also excluded. "
I want to graphically display bearing loads on screen. Unfortunately for some reason it doesn't work anymore. ,"Check whether the results of the selected load case are calculated and the support reactions are activated. If point 1 didn't work, probably the settings in the Show navigator are the cause of the problem. In this case, it is a good idea to reset the settings in the Show navigator to the default settings. To do this, open the Show navigator. Then right-click on an entry in the navigator to open the context menu shown in the graphic below. You can select the ""Dlubal Standard"" entry in the context menu. This will reset the settings to default and the bearing forces display should work again."
What is the sign definition for the non-linearity of a line release?,"The direction definition is basically determined by the line release axis system and the position of the released object. The display of the line release axis system can be done in the Project Navigator - Show under Model -> Line releases are activated.To determine the direction for the non-linearity definition, it is important how the released object moves relative to the line release axis system of the original element. The loading shown under 1 and 2 would move the released area 2 against the z-axis of the line release axis system. The line release would therefore not be effective with these loads, i.e. the areas 1 and 2 would be firmly connected."
Why is the fiber cutting angle not taken into account when dimensioning a haunched beam?,"You have probably performed a design according to DIN1052:2008 in RF-/TIMBER Pro and are using a cutting angle of less than 3°. According to Section 10.4.1 (1) of DIN 1052, such a cutting angle does not need to be taken into account. If you change the design to the current DIN EN 1995, the verification is also performed for angles smaller than 3°.In addition, it is also possible in the module to calculate transverse tensile stresses in the ridge etc. according to Section 6.4.3 ff. of the Eurocode to be examined. This procedure is explained in detail in a webinar."
